id;task_name;data_create;data_end;description;cancel;photo;photo_content_type;puntuacion
1;withdrawal Avon rich;2022-03-16;2022-03-16;Gloves Web;false;../fake-data/blob/hipster.png;image/png;blockchains
2;Baby bifurcated;2022-03-16;2022-03-17;Frozen Central circuit;true;../fake-data/blob/hipster.png;image/png;Usability Quality proactive
3;Home Pizza synthesizing;2022-03-16;2022-03-16;web-enabled Bacon Health;true;../fake-data/blob/hipster.png;image/png;Movies bypass Avon
4;Orchestrator integrate;2022-03-16;2022-03-16;programming;true;../fake-data/blob/hipster.png;image/png;architectures Plastic Engineer
5;matrix Dynamic Technician;2022-03-16;2022-03-16;metrics optimize Expanded;false;../fake-data/blob/hipster.png;image/png;withdrawal Refined
6;Organized Marino Micronesia;2022-03-16;2022-03-17;Consultant;true;../fake-data/blob/hipster.png;image/png;initiatives
7;enhance;2022-03-17;2022-03-16;24/7;true;../fake-data/blob/hipster.png;image/png;card collaboration to
8;compressing heuristic Franc;2022-03-16;2022-03-16;experiences solutions;true;../fake-data/blob/hipster.png;image/png;Designer coherent
9;Cotton;2022-03-16;2022-03-16;Computer Costa Orchestrator;true;../fake-data/blob/hipster.png;image/png;Oman model
10;incubate Internal;2022-03-16;2022-03-16;Checking Dollar Borders;false;../fake-data/blob/hipster.png;image/png;Poland Pants
